,feedback,patch_length,unique_participant,prior,context,RT,RL,trial_num,probed_trial,feedback_manipulation_type,date,trials_since_last_probe
2,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,,,66.6666666667,2,False,1,2019-05-06 16:48:00,
3,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,0.0,391.666666667,58.3333333333,3,False,1,2019-05-06 16:48:00,
4,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,0.0,358.33333333300004,83.3333333333,4,False,1,2019-05-06 16:48:00,
5,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,0.0,358.33333333300004,83.3333333333,5,False,1,2019-05-06 16:48:00,
6,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,0.0,416.666666667,58.3333333333,6,False,1,2019-05-06 16:48:00,
8,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,1.0,400.0,50.0,8,False,1,2019-05-06 16:48:00,1.0
9,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,1.0,325.0,91.6666666667,9,False,1,2019-05-06 16:48:00,2.0
10,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,2.0,366.666666667,91.6666666667,10,False,1,2019-05-06 16:48:00,3.0
11,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,2.0,,50.0,11,False,1,2019-05-06 16:48:00,4.0
12,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,2.0,416.666666667,100.0,12,False,1,2019-05-06 16:48:00,5.0
13,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,1.0,358.33333333300004,141.66666666700002,13,False,1,2019-05-06 16:48:00,6.0
14,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,0.0,358.33333333300004,91.6666666667,14,False,1,2019-05-06 16:48:00,7.0
16,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,0.0,375.0,100.0,16,False,1,2019-05-06 16:48:00,1.0
17,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,0.0,366.666666667,166.66666666700002,17,False,1,2019-05-06 16:48:00,2.0
18,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,1.0,325.0,158.33333333299998,18,False,1,2019-05-06 16:48:00,3.0
19,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,2.0,341.666666667,83.3333333333,19,False,1,2019-05-06 16:48:00,4.0
20,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,3.0,416.666666667,75.0,20,False,1,2019-05-06 16:48:00,5.0
21,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,3.0,416.666666667,91.6666666667,21,False,1,2019-05-06 16:48:00,6.0
22,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,2.0,366.666666667,58.3333333333,22,False,1,2019-05-06 16:48:00,7.0
24,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,1.0,491.666666667,125.0,24,False,1,2019-05-06 16:48:00,1.0
25,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,0.0,433.333333333,75.0,25,False,1,2019-05-06 16:48:00,2.0
26,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,0.0,375.0,116.666666667,26,False,1,2019-05-06 16:48:00,3.0
27,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,1.0,358.33333333300004,125.0,27,False,1,2019-05-06 16:48:00,4.0
28,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,2.0,383.333333333,108.333333333,28,False,1,2019-05-06 16:48:00,5.0
29,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,3.0,358.33333333300004,100.0,29,False,1,2019-05-06 16:48:00,6.0
30,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,3.0,383.333333333,41.6666666667,30,False,1,2019-05-06 16:48:00,7.0
31,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,3.0,358.33333333300004,83.3333333333,31,False,1,2019-05-06 16:48:00,8.0
32,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,2.0,375.0,116.666666667,32,False,1,2019-05-06 16:48:00,9.0
33,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,1.0,350.0,58.3333333333,33,False,1,2019-05-06 16:48:00,10.0
35,CONTROL FEEDBACK,5,10:2019_May_06_1648,0,0.0,433.333333333,75.0,35,False,1,2019-05-06 16:48:00,1.0
36,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,0.0,341.666666667,108.333333333,36,False,1,2019-05-06 16:48:00,2.0
37,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,1.0,383.333333333,100.0,37,False,1,2019-05-06 16:48:00,3.0
38,CONTROL FEEDBACK,5,10:2019_May_06_1648,1,2.0,383.333333333,33.3333333333,38,False,1,2019-05-06 16:48:00,4.0
