patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0,0.0,42.0,454.01,458.88,39.54
5,CONTROL FEEDBACK,0,1.0,42.0,451.94,453.68,36.09
5,CONTROL FEEDBACK,0,2.0,42.0,453.45,454.47,35.34
5,CONTROL FEEDBACK,0,3.0,42.0,451.71,450.66,39.47
5,CONTROL FEEDBACK,1,0.0,42.0,446.28,448.01,39.12
5,CONTROL FEEDBACK,1,1.0,42.0,442.1,442.48,36.92
5,CONTROL FEEDBACK,1,2.0,42.0,437.43,436.55,32.9
5,CONTROL FEEDBACK,1,3.0,42.0,429.85,427.84,32.18
5,NEGLIGIBLE OUTCOME,0,0.0,59.0,448.38,447.06,48.51
5,NEGLIGIBLE OUTCOME,0,1.0,59.0,447.83,440.33,48.91
5,NEGLIGIBLE OUTCOME,0,2.0,59.0,452.07,448.5,49.2
5,NEGLIGIBLE OUTCOME,0,3.0,59.0,452.97,449.67,46.71
5,NEGLIGIBLE OUTCOME,1,0.0,59.0,442.16,437.61,50.35
5,NEGLIGIBLE OUTCOME,1,1.0,59.0,437.76,432.88,49.84
5,NEGLIGIBLE OUTCOME,1,2.0,59.0,433.66,424.17,46.49
5,NEGLIGIBLE OUTCOME,1,3.0,59.0,430.69,420.83,46.88
5,SUBSTANTIAL OUTCOME,0,0.0,34.0,456.78,461.06,48.26
5,SUBSTANTIAL OUTCOME,0,1.0,34.0,454.76,463.34,48.38
5,SUBSTANTIAL OUTCOME,0,2.0,34.0,456.78,464.15,49.07
5,SUBSTANTIAL OUTCOME,0,3.0,34.0,453.76,454.85,47.19
5,SUBSTANTIAL OUTCOME,1,0.0,34.0,455.7,459.02,49.45
5,SUBSTANTIAL OUTCOME,1,1.0,34.0,448.77,458.53,49.77
5,SUBSTANTIAL OUTCOME,1,2.0,34.0,444.5,456.9,49.82
5,SUBSTANTIAL OUTCOME,1,3.0,34.0,440.05,451.9,47.74
10,CONTROL FEEDBACK,0,0.0,41.0,449.09,453.95,42.15
10,CONTROL FEEDBACK,0,1.0,41.0,448.99,439.17,46.07
10,CONTROL FEEDBACK,0,2.0,41.0,450.64,443.81,40.78
10,CONTROL FEEDBACK,0,3.0,41.0,456.79,447.62,47.63
10,CONTROL FEEDBACK,1,0.0,41.0,441.37,434.47,45.98
10,CONTROL FEEDBACK,1,1.0,41.0,439.0,435.83,43.45
10,CONTROL FEEDBACK,1,2.0,41.0,433.06,435.88,45.06
10,CONTROL FEEDBACK,1,3.0,41.0,425.07,428.09,45.27
10,NEGLIGIBLE OUTCOME,0,0.0,36.0,450.14,449.12,44.94
10,NEGLIGIBLE OUTCOME,0,1.0,36.0,450.09,444.76,43.81
10,NEGLIGIBLE OUTCOME,0,2.0,36.0,455.74,450.33,42.97
10,NEGLIGIBLE OUTCOME,0,3.0,36.0,459.29,459.02,42.99
10,NEGLIGIBLE OUTCOME,1,0.0,36.0,439.97,438.29,45.6
10,NEGLIGIBLE OUTCOME,1,1.0,36.0,441.71,435.9,44.69
10,NEGLIGIBLE OUTCOME,1,2.0,36.0,439.41,434.21,42.58
10,NEGLIGIBLE OUTCOME,1,3.0,36.0,437.08,432.45,48.57
10,SUBSTANTIAL OUTCOME,0,0.0,63.0,456.97,451.38,35.16
10,SUBSTANTIAL OUTCOME,0,1.0,63.0,454.27,451.85,36.61
10,SUBSTANTIAL OUTCOME,0,2.0,63.0,462.26,465.18,33.92
10,SUBSTANTIAL OUTCOME,0,3.0,63.0,468.66,463.04,39.35
10,SUBSTANTIAL OUTCOME,1,0.0,63.0,450.83,449.6,37.65
10,SUBSTANTIAL OUTCOME,1,1.0,63.0,448.68,443.91,37.73
10,SUBSTANTIAL OUTCOME,1,2.0,63.0,443.54,439.86,37.11
10,SUBSTANTIAL OUTCOME,1,3.0,63.0,436.27,431.59,37.7
