patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,-2.295925802588001,17.10445918686238,42,451.7117139560298,454.0076397586178,38.993479414123264,39.06311163740768,-0.13262206471926524,-0.4356034275431172,0.1719565367361449,-0.8594892123330234,0.3950683626679631,0.903966517790566,2.4065676425767917e-16,e1
5,True,CONTROL FEEDBACK,-16.435381665863584,19.152619604135054,42,429.84622729225833,446.2816089581219,31.7930768946862,38.652376125846814,-0.8478497449779452,-1.197476785475055,-0.4905736980888662,-5.494694348413295,1.1287572770120378e-06,0.8698923487444694,7.548367536669e-14,e1
10,False,CONTROL FEEDBACK,7.699122964186824,23.531099626974495,41,456.79391991889446,449.09479695470765,47.04862350128717,41.63258759263982,0.32317451120109897,0.007130061079282396,0.6353888268808202,2.0693265455922703,0.04501824014794951,0.8661448335032502,2.6025039502123186e-13,e1
10,True,CONTROL FEEDBACK,-16.307252751004143,19.19957458664982,41,425.0661995312148,441.373452282219,44.715283765023585,45.41223059229678,-0.838932972682225,-1.1917869323704142,-0.478281981313603,-5.371792050963145,1.7989136563248124e-06,0.9093533530394029,1.942417399831043e-16,e1
