patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0,0.0,48.0,485.65,481.78,64.47
5,CONTROL FEEDBACK,0,1.0,48.0,487.71,479.12,65.28
5,CONTROL FEEDBACK,0,2.0,48.0,484.76,471.07,65.76
5,CONTROL FEEDBACK,0,3.0,48.0,486.27,463.04,71.92
5,CONTROL FEEDBACK,1,0.0,48.0,474.94,457.65,67.01
5,CONTROL FEEDBACK,1,1.0,48.0,472.82,458.05,65.1
5,CONTROL FEEDBACK,1,2.0,48.0,468.92,459.94,63.16
5,CONTROL FEEDBACK,1,3.0,48.0,458.69,445.63,65.09
10,CONTROL FEEDBACK,0,0.0,49.0,490.14,476.84,75.85
10,CONTROL FEEDBACK,0,1.0,49.0,498.02,476.56,77.74
10,CONTROL FEEDBACK,0,2.0,49.0,498.49,480.19,78.4
10,CONTROL FEEDBACK,0,3.0,49.0,506.7,492.36,84.89
10,CONTROL FEEDBACK,1,0.0,49.0,484.57,466.07,78.17
10,CONTROL FEEDBACK,1,1.0,49.0,481.89,468.17,78.69
10,CONTROL FEEDBACK,1,2.0,49.0,474.79,468.68,72.17
10,CONTROL FEEDBACK,1,3.0,49.0,464.95,437.31,71.92
