patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0,0.0,117.0,449.6,445.96,48.01
5,CONTROL FEEDBACK,0,1.0,117.0,450.0,444.22,48.42
5,CONTROL FEEDBACK,0,2.0,117.0,447.51,445.15,48.49
5,CONTROL FEEDBACK,0,3.0,117.0,449.08,445.55,50.0
5,CONTROL FEEDBACK,1,0.0,117.0,438.46,439.02,47.84
5,CONTROL FEEDBACK,1,1.0,117.0,435.33,433.73,46.82
5,CONTROL FEEDBACK,1,2.0,117.0,432.56,433.78,47.4
5,CONTROL FEEDBACK,1,3.0,117.0,427.33,426.33,47.13
10,CONTROL FEEDBACK,0,0.0,145.0,447.51,444.03,43.8
10,CONTROL FEEDBACK,0,1.0,145.0,451.03,448.42,45.59
10,CONTROL FEEDBACK,0,2.0,145.0,453.06,452.49,44.65
10,CONTROL FEEDBACK,0,3.0,145.0,457.57,455.49,46.68
10,CONTROL FEEDBACK,1,0.0,145.0,439.66,434.7,46.75
10,CONTROL FEEDBACK,1,1.0,145.0,438.76,433.52,45.76
10,CONTROL FEEDBACK,1,2.0,145.0,435.3,430.08,43.22
10,CONTROL FEEDBACK,1,3.0,145.0,428.38,423.85,44.64
