patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,-0.32621447660914166,17.031059092259877,69,445.2189392431714,445.5451537197806,50.145677797571125,47.28124240918488,-0.019014787891183056,-0.2549185804981289,0.217028629313204,-0.15794869084522684,0.8749653356860375,0.940561380475183,3.8899806255486795e-33,e3
5,True,CONTROL FEEDBACK,-11.39620225955925,17.473260268528353,69,424.51406725047474,435.9102695100339,45.151792108603125,47.99580156168611,-0.6474647269448048,-0.9052376452849402,-0.38573531206450945,-5.378245951237451,4.994458440444533e-07,0.9314228875077082,4.037146326594079e-31,e3
10,False,CONTROL FEEDBACK,6.68376111432898,18.17583354846921,65,449.0430333244724,442.3592722101434,46.57305051942021,45.607494446225964,0.3648882605192158,0.11239723264364321,0.6147086535696413,2.9418232056342273,0.0045387932260984205,0.9224538142425904,9.932395278123737e-28,e3
10,True,CONTROL FEEDBACK,-12.791285124642354,24.928871369908244,65,423.5196031050598,436.3108882297022,47.15946594387938,47.801998648212354,-0.509148972513871,-0.765935045443348,-0.24883271032215107,-4.104890248688202,5.840263019780681e-05,0.8622563165192006,2.816014285564499e-20,e3
