patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,0.28651389317075293,17.578918544762598,60,445.672322323596,445.38580843042524,38.84968767538807,36.257291033461705,0.01616232787555669,-0.23695315507661938,0.26914170876847704,0.12519285339594993,0.9007964810657738,0.892694449172944,9.754462034754873e-22,e3
5,True,CONTROL FEEDBACK,-8.175343782289376,16.750561572730405,60,429.4062248318001,437.5815686140896,38.91294529609021,36.59607464707548,-0.4839795743951773,-0.7497549349543686,-0.21453060966604315,-3.748889663074151,0.00020329189805053663,0.9033702160296225,5.435827382861374e-23,e3
10,False,CONTROL FEEDBACK,9.15480387222968,17.18821804026621,57,454.7209433058535,445.56613943362385,38.392266674057204,34.53550021698036,0.5279280966599826,0.24852637326155777,0.8031820682285639,3.985769723510482,0.00019658541863309113,0.8941997850774941,7.56919080360641e-21,e3
10,True,CONTROL FEEDBACK,-12.77217169388583,18.957453126427282,57,425.2537708814857,438.0259425753715,36.09319298463452,38.74395555234435,-0.667792201241679,-0.9527799323695887,-0.3779057918356716,-5.0417205565396825,2.5787426528774153e-06,0.8740130741008378,7.016805756478781e-19,e3
