patch_length,feedback,prior,context,count,mean,median,std
5.0,CONTROL FEEDBACK,0.0,0.0,54.0,439.89,424.66,57.82
5.0,CONTROL FEEDBACK,0.0,1.0,54.0,436.7,424.16,54.98
5.0,CONTROL FEEDBACK,0.0,2.0,54.0,437.53,428.47,53.82
5.0,CONTROL FEEDBACK,0.0,3.0,54.0,440.13,426.78,57.09
5.0,CONTROL FEEDBACK,1.0,0.0,54.0,439.27,427.1,56.17
5.0,CONTROL FEEDBACK,1.0,1.0,54.0,435.08,424.58,54.5
5.0,CONTROL FEEDBACK,1.0,2.0,54.0,432.6,428.03,53.27
5.0,CONTROL FEEDBACK,1.0,3.0,54.0,429.03,418.49,52.55
10.0,CONTROL FEEDBACK,0.0,0.0,48.0,436.58,433.22,39.31
10.0,CONTROL FEEDBACK,0.0,1.0,48.0,439.15,436.23,39.28
10.0,CONTROL FEEDBACK,0.0,2.0,48.0,435.94,434.47,39.51
10.0,CONTROL FEEDBACK,0.0,3.0,48.0,439.41,435.32,38.46
10.0,CONTROL FEEDBACK,1.0,0.0,48.0,435.51,437.25,41.76
10.0,CONTROL FEEDBACK,1.0,1.0,48.0,427.4,430.0,41.9
10.0,CONTROL FEEDBACK,1.0,2.0,48.0,430.37,427.44,46.36
10.0,CONTROL FEEDBACK,1.0,3.0,48.0,425.42,424.29,39.58
