patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,0.24039969854965193,14.312666307373467,54,440.12995794015615,439.88955824160627,56.56244095989833,57.27876448162367,0.016640042362695607,-0.2501744533545439,0.2832986932523567,0.12227883926070136,0.9031406715407155,0.9684644713745947,4.691980818491461e-33,e1
5,True,CONTROL FEEDBACK,-10.24064361644309,19.535463929999047,54,429.0261288558094,439.26677247225257,52.06579123758739,55.651169655317965,-0.5193313955155997,-0.8015382390725786,-0.2328047363640461,-3.816290779262206,0.0001780790349998214,0.9363629698973329,2.6754476042073795e-25,e1
10,False,CONTROL FEEDBACK,2.830624086636451,16.24123188298168,48,439.41166230269044,436.58103821605397,38.05766644486014,38.902737483577695,0.17246125461574172,-0.11346593967437786,0.45658740219659155,1.1948466213261488,0.2381417165390186,0.9111600659381606,2.4808246085064083e-19,e1
10,True,CONTROL FEEDBACK,-10.092451664126253,17.54569008661803,48,425.4173671307893,435.5098187949155,39.16714923885102,41.3219413815418,-0.5691864258644552,-0.8718596346782904,-0.2612888847677083,-3.9434392343030904,0.0001330386431778953,0.9063283566082624,7.952503397099359e-19,e1
