,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
238,525:2023-07-20 19:07:40.922,10 Trials,CONTROL FEEDBACK,483.3725352112676,475.309090909091,506.75833333333327,530.0499999999998,516.3157894736843,483.3727272727272,518.1277777777776,496.9325396825398
239,527:2023-07-19 13:20:27.509,10 Trials,CONTROL FEEDBACK,456.72565789473697,468.5300000000001,483.38421052631577,478.9799999999999,466.540909090909,462.18571428571437,426.86153846153854,437.7999999999999
240,529:2023-07-20 07:25:09.821,10 Trials,CONTROL FEEDBACK,400.3578947368421,403.7173913043478,404.09999999999997,408.98148148148147,392.4526315789474,408.255,390.21860465116293,394.08762886597947
241,531:2023-07-19 15:03:50.170,10 Trials,CONTROL FEEDBACK,391.87724137931014,381.3615384615384,365.8849999999999,366.2857142857142,402.3473684210526,396.5374999999999,383.10249999999996,379.65961538461545
242,537:2023-07-19 17:54:38.530,10 Trials,CONTROL FEEDBACK,418.20340136054426,419.43500000000006,407.7333333333333,408.4749999999999,406.0,419.33000000000004,406.8184210526315,403.3721739130435
243,539:2023-07-19 19:13:42.534,10 Trials,CONTROL FEEDBACK,456.62176870748317,434.0,442.2565217391304,444.00434782608687,426.80000000000007,433.0363636363636,435.18181818181813,427.47480916030565
244,541:2023-07-19 14:05:17.778,10 Trials,CONTROL FEEDBACK,413.2815789473684,429.6304347826088,428.94090909090914,404.2608695652173,422.66190476190474,402.92857142857144,419.3961538461539,415.1184931506848
245,545:2023-07-22 12:41:27.844,10 Trials,CONTROL FEEDBACK,396.3475524475524,383.8363636363636,388.15999999999997,402.01250000000005,402.2285714285714,388.9249999999999,382.51212121212126,393.11452991453
246,547:2023-07-19 12:55:52.670,10 Trials,CONTROL FEEDBACK,532.6148760330577,527.1695652173912,526.5523809523811,540.2304347826087,534.7222222222223,557.7454545454547,524.2666666666668,534.4250000000001
247,549:2023-07-19 17:57:30.951,10 Trials,CONTROL FEEDBACK,364.7705479452056,358.88461538461536,364.5304347826087,369.43181818181824,386.88333333333344,384.4571428571429,354.24375,358.2430894308945
248,553:2023-07-20 21:48:27.286,10 Trials,CONTROL FEEDBACK,398.58978102189786,396.718918918919,387.8344827586207,378.5894736842106,378.5357142857143,385.776,387.8051282051282,391.6320987654323
249,555:2023-07-19 16:17:36.936,10 Trials,CONTROL FEEDBACK,407.9979310344828,391.540909090909,413.32272727272726,404.9260869565217,408.93636363636364,411.6761904761905,402.6775,403.4418181818181
250,557:2023-07-20 21:48:49.984,10 Trials,CONTROL FEEDBACK,437.02765957446803,417.3259259259259,436.77500000000003,459.3117647058823,401.121052631579,437.1590909090908,438.53,428.46
251,6733:2023-02-12 19:58:28.213,10 Trials,CONTROL FEEDBACK,424.45874125874116,419.65000000000003,426.973076923077,414.5869565217391,419.19999999999993,452.6380952380952,421.7258064516129,427.0056000000002
252,7201:2022-11-28 12:10:12.571,10 Trials,CONTROL FEEDBACK,540.2134228187921,537.4956521739131,559.1285714285714,533.2130434782608,540.865,526.9714285714284,525.5114285714284,534.7576
