patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,1.697091849701069,16.379794198273935,89,437.1842399587492,435.48714810904806,48.21821134608135,47.27950382863342,0.10302514624716377,-0.10557663061837189,0.3110462151585217,0.9719372858231152,0.33374575346205415,0.9413491681894014,8.109471054147121e-43,e3
5,True,CONTROL FEEDBACK,-9.741459964830778,16.807936780019155,89,427.5714064238454,437.3128663886761,45.45192866293359,48.47586409848082,-0.5763097630779663,-0.7993792750139034,-0.3504192314020123,-5.436895431097546,2.397175197362458e-07,0.9379658049928914,8.651511611324591e-42,e3
10,False,CONTROL FEEDBACK,0.187275876581879,19.573712671801218,107,437.9134558479958,437.72617997141384,45.43708292286338,43.69443899892476,0.0095229098588961,-0.1799808292584073,0.1989841029481882,0.0985057455346168,0.9217167474584734,0.9042753590300076,1.3263828246276902e-40,e3
10,True,CONTROL FEEDBACK,-4.220055096929547,22.52063272418853,107,432.5529591642107,436.77301426114013,43.2607813272163,47.72371157900598,-0.1865084775227448,-0.37720624958411814,0.005055612006608101,-1.929258692892217,0.02818623609311439,0.881994236100672,4.32587148474863e-36,e3
