patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,-5.516454833813019,13.244505567814043,41,419.7387163538497,425.25517118766265,45.99234629055116,44.61315777671005,-0.4113981967872819,-0.7280462850062368,-0.09002215091818191,-2.6342337650848133,0.011934849144720736,0.9577177669771718,1.0486764247374084e-22,e2c
5,True,CONTROL FEEDBACK,-4.703854535590776,10.918607747666204,41,417.4129299764354,422.11678451202613,44.5484713697734,46.428623231219255,-0.4255246136239767,-0.7429836867231749,-0.10319060507094034,-2.724686967119933,0.004749507465104313,0.9720350841201378,3.7594560149782173e-26,e2c
10,False,CONTROL FEEDBACK,1.8873345306111537,17.03436339505977,49,443.88226259589675,441.9949280652857,59.75662294154901,58.45135317278498,0.10965932206175415,-0.17175906306423458,0.38994121158707146,0.7676152544322791,0.44647554054779537,0.9587063064274094,2.604148398677473e-27,e2c
10,True,CONTROL FEEDBACK,-4.160910362447052,14.351937673804796,49,432.72522925574856,436.88613961819556,56.187793899600535,60.728414007244645,-0.2869461479119277,-0.5713006973643794,0.000272529661355528,-2.008623035383494,0.025110318364884598,0.9728384733450234,1.6129247782171338e-31,e2c
