patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,-1.1188007536320927,14.356859694602118,122,423.7529633553749,424.87176410900696,44.08842035734648,41.93861565955435,-0.07760792357343069,-0.2551641305210514,0.10026696336526043,-0.8572075336628195,0.393024807233619,0.9455119083996485,2.5438178222198523e-60,e2c
5,True,CONTROL FEEDBACK,-3.018596722203869,13.02189085609321,122,419.61998995513096,422.63858667733484,43.52717006304717,42.60811998337058,-0.23085740787804632,-0.41020273522925427,-0.050585154543824486,-2.549903413505072,0.006011999947323485,0.9545120246458065,6.5677073433599576e-65,e2c
10,False,CONTROL FEEDBACK,-2.215861988734481,16.473950686050635,131,427.13451779127314,429.35037978000764,55.547779849664266,52.47880712488445,-0.13399264937415714,-0.30575349730773743,0.03827446307170049,-1.5336159693045917,0.1275542499768064,0.9550660106176231,5.450665118743035e-70,e2c
10,True,CONTROL FEEDBACK,-3.7997551801993104,15.202702289139022,131,424.48021209273287,428.2799672729321,51.806263767156004,54.42898616964411,-0.24898366372239134,-0.42241069685293875,-0.07462841888657014,-2.8497482851792113,0.002544677029735325,0.9602371669734154,2.417343110775051e-73,e2c
