patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0.0,0.0,37.0,442.3,438.57,42.07
5,CONTROL FEEDBACK,0.0,1.0,37.0,445.29,447.04,43.26
5,CONTROL FEEDBACK,0.0,2.0,37.0,443.94,449.31,42.59
5,CONTROL FEEDBACK,0.0,3.0,37.0,445.81,451.72,39.69
5,CONTROL FEEDBACK,1.0,0.0,37.0,446.96,446.43,44.86
5,CONTROL FEEDBACK,1.0,1.0,37.0,443.88,448.5,45.08
5,CONTROL FEEDBACK,1.0,2.0,37.0,441.7,440.05,42.56
5,CONTROL FEEDBACK,1.0,3.0,37.0,441.72,452.03,42.12
10,CONTROL FEEDBACK,0.0,0.0,41.0,443.89,447.92,32.84
10,CONTROL FEEDBACK,0.0,1.0,41.0,445.13,449.44,34.69
10,CONTROL FEEDBACK,0.0,2.0,41.0,444.08,446.11,35.23
10,CONTROL FEEDBACK,0.0,3.0,41.0,442.13,444.61,34.09
10,CONTROL FEEDBACK,1.0,0.0,41.0,443.91,447.22,35.62
10,CONTROL FEEDBACK,1.0,1.0,41.0,437.28,441.23,36.38
10,CONTROL FEEDBACK,1.0,2.0,41.0,443.94,443.45,38.43
10,CONTROL FEEDBACK,1.0,3.0,41.0,437.99,446.08,32.37
