patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,3.503476648450464,15.02335507397194,37,445.80736008419825,442.3038834357478,39.153781253535456,41.49493201141885,0.2300290488578381,-0.09806281174476623,0.5550130943216663,1.399212079272596,0.17030701563765682,0.9322267346184256,5.07071743048066e-17,e4
5,True,CONTROL FEEDBACK,-5.237739199814394,17.85560567192362,37,441.7178876153867,446.95562681520096,41.54338915511518,44.247289798753954,-0.28934745850924465,-0.6164520188668599,0.041602773542532605,-1.760031878857052,0.043448917414593925,0.9152664124216492,2.2028960914136792e-15,e4
10,False,CONTROL FEEDBACK,-1.758284960487454,12.308906661156444,41,442.12889789980113,443.8871828602885,33.67238512708167,32.43411726256853,-0.14109377401470566,-0.44786589544397876,0.16741933407895304,-0.9034409641444349,0.37170076600329516,0.931338158210234,1.0546293239057452e-18,e4
10,True,CONTROL FEEDBACK,-5.922868809060915,19.60146045541753,41,437.9910928592324,443.9139616682933,31.97257114831953,35.18509702740946,-0.2984569865642472,-0.6096380872866161,0.01628537463073284,-1.9110571645007013,0.03159105087162485,0.8338173854242368,1.3028209257807016e-11,e4
