patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,6.633237288648227,19.910713991804048,48,472.85214763903895,466.2189103503908,69.17321315770316,59.850095577599994,0.3296605734577856,0.037398889488209595,0.6185991983695058,2.283955449924707,0.026936595012006893,0.9626190507959298,9.777295542670655e-28,e5
5,True,CONTROL FEEDBACK,-8.790172917555898,12.578150882312448,48,463.32715572445045,472.1173286420064,63.08170633662379,67.30695515616512,-0.6915266613503305,-1.0039308267075673,-0.3731626207762194,-4.791037248988998,8.494017217029252e-06,0.983471205692555,8.619378463854111e-36,e5
10,False,CONTROL FEEDBACK,-0.027229788340837422,15.816348423294006,49,477.5547534840667,477.5819832724077,74.80558947687199,74.30226949348729,-0.001703964806303684,-0.28169026111486833,0.2783000337864575,-0.011927753644125788,0.9905326938182129,0.9775194829876258,1.992188544156552e-33,e5
10,True,CONTROL FEEDBACK,-10.170328551465472,20.868441552111925,49,471.3929682612626,481.56329681272814,72.51351153925009,75.69321769853221,-0.48235584371516127,-0.7761756258646334,-0.18403396758814555,-3.376490906006129,0.000731385477195489,0.9612499277717531,6.011004483880698e-28,e5
