patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0.0,0.0,37.0,372.66,371.48,45.6
5,CONTROL FEEDBACK,0.0,1.0,37.0,379.86,380.56,48.03
5,CONTROL FEEDBACK,0.0,2.0,37.0,379.24,362.06,49.23
5,CONTROL FEEDBACK,0.0,3.0,37.0,392.13,381.62,52.98
5,CONTROL FEEDBACK,1.0,0.0,37.0,385.58,380.64,50.9
5,CONTROL FEEDBACK,1.0,1.0,37.0,386.82,385.26,45.72
5,CONTROL FEEDBACK,1.0,2.0,37.0,379.29,377.48,50.97
5,CONTROL FEEDBACK,1.0,3.0,37.0,371.46,362.02,46.31
10,CONTROL FEEDBACK,0.0,0.0,38.0,389.19,382.24,57.27
10,CONTROL FEEDBACK,0.0,1.0,38.0,386.96,387.56,58.46
10,CONTROL FEEDBACK,0.0,2.0,38.0,394.75,387.35,56.45
10,CONTROL FEEDBACK,0.0,3.0,38.0,392.77,386.69,49.8
10,CONTROL FEEDBACK,1.0,0.0,38.0,386.7,378.07,53.72
10,CONTROL FEEDBACK,1.0,1.0,38.0,385.19,392.99,51.18
10,CONTROL FEEDBACK,1.0,2.0,38.0,382.84,366.16,59.93
10,CONTROL FEEDBACK,1.0,3.0,38.0,387.58,391.77,49.54
