,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
57,36262:2022-03-12 13:32:05.991,5 Trials,CONTROL FEEDBACK,413.56493506493507,421.3038461538462,445.8309523809525,413.0250000000001,429.4657894736842,426.5459459459459,403.3027777777777,440.6807692307693
58,36265:2022-03-10 16:17:10.572,10 Trials,CONTROL FEEDBACK,447.0825396825396,447.9799999999999,440.2551724137931,434.02608695652185,442.6952380952381,435.7413793103448,429.94864864864854,433.41333333333347
59,36268:2022-03-12 14:11:43.029,5 Trials,CONTROL FEEDBACK,470.0513157894737,471.45600000000013,431.3790697674418,460.99655172413804,442.17368421052606,447.8300000000001,450.8161290322581,416.4
60,36292:2022-05-23 16:49:12.526,5 Trials,CONTROL FEEDBACK,430.62142857142857,422.27358490566047,413.83749999999986,420.42962962962963,421.50476190476195,433.7341463414634,405.84193548387094,398.016129032258
61,36313:2022-03-14 09:28:03.420,10 Trials,CONTROL FEEDBACK,447.0141666666666,425.25483870967736,437.3216216216216,465.1636363636364,479.93500000000006,429.66153846153844,436.38431372549024,445.60000000000014
62,36334:2022-03-05 20:58:43.629,5 Trials,CONTROL FEEDBACK,434.08947368421036,442.51290322580644,432.93617021276594,440.556,428.8794871794872,431.65135135135137,396.9812500000001,424.62258064516124
63,36370:2022-05-05 11:25:16.587,5 Trials,CONTROL FEEDBACK,406.7458333333334,417.8453125,417.632075471698,375.65789473684214,405.75238095238103,410.3515151515152,374.4862068965517,425.85
64,36388:2022-03-15 11:04:46.238,5 Trials,CONTROL FEEDBACK,449.9047619047619,460.0945945945946,440.19565217391306,468.5,443.7073170731707,455.45714285714286,448.4,431.05882352941177
65,36478:2022-03-24 20:05:51.685,5 Trials,CONTROL FEEDBACK,446.5146666666665,438.30158730158723,445.87755102040825,447.0529411764706,450.0333333333333,444.29714285714283,445.04814814814824,448.0136363636364
66,36496:2022-03-14 17:55:32.751,5 Trials,CONTROL FEEDBACK,442.56951221951215,427.1344827931035,442.5853658292683,427.2095239523809,432.9583333333333,399.1399998285714,403.5800000999999,395.90952390476184
67,36577:2022-05-08 19:31:43.237,10 Trials,CONTROL FEEDBACK,427.410833333333,428.50606060606066,427.17500000000007,429.0200000000001,423.17272727272734,437.34999999999997,404.3851063829788,376.004347826087
68,36859:2022-03-23 10:08:39.948,10 Trials,CONTROL FEEDBACK,482.267441860465,493.3742857142857,494.4724137931034,528.9647058823529,453.13,467.11111111111103,467.3634146341463,469.9971428571429
69,36988:2022-03-05 19:15:09.628,5 Trials,CONTROL FEEDBACK,388.0300000000001,395.51016949152546,392.496,385.0347826086956,374.49512195121946,385.8820512820513,387.2,386.3333333333334
70,36997:2022-05-16 07:33:10.260,10 Trials,CONTROL FEEDBACK,397.2984496124029,395.628125,402.2352941176471,405.28000000000003,406.63809523809533,427.51200000000006,400.5631578947369,403.1844444444445
71,37039:2022-03-18 20:52:34.806,10 Trials,CONTROL FEEDBACK,429.27007874015726,433.7307692307692,434.78571428571416,425.10909090909087,422.95238095238085,414.152,431.9431818181819,417.1085106382977
72,37057:2022-05-05 22:14:38.321,10 Trials,CONTROL FEEDBACK,416.04772725757556,408.8806451612904,444.0166667000001,427.03181818181804,422.8550002,422.32083316666666,421.7230769743589,415.3545453636363
73,37153:2022-05-09 08:29:36.024,10 Trials,CONTROL FEEDBACK,524.5187499999998,504.9518518518518,485.565625,495.75238095238103,506.9428571428572,522.7909090909092,489.65490196078446,481.35428571428565
74,37165:2022-03-02 19:24:46.340,10 Trials,CONTROL FEEDBACK,445.0309523809524,446.4605263157895,443.9653846153847,470.0,409.31904761904764,405.8434782608696,425.26521739130436,432.9448979591837
75,37171:2022-03-03 19:42:59.662,10 Trials,CONTROL FEEDBACK,456.9263999999999,451.6621621621622,466.095652173913,456.19200000000006,476.98181818181814,428.2166666666667,437.66538461538465,424.0325581395349
76,37195:2022-03-07 21:02:11.993,10 Trials,CONTROL FEEDBACK,408.16140350877197,381.37105263157895,416.28999999999996,401.07777777777784,427.52857142857135,383.13124999999997,377.09,332.18666666666667
77,37201:2022-03-08 15:03:20.039,10 Trials,CONTROL FEEDBACK,407.5612612612613,411.3741935483871,411.95172413793097,415.97272727272724,426.7950000000001,392.8238095238096,405.9304347826087,384.0857142857143
78,37246:2022-03-17 17:54:30.269,5 Trials,CONTROL FEEDBACK,438.41645569620243,446.7415094339624,446.29629629629636,446.54499999999996,441.9142857142856,457.313888888889,456.79999999999995,456.12500000000006
79,37306:2022-03-22 09:00:16.107,5 Trials,CONTROL FEEDBACK,424.3987500000001,396.8074074074074,419.8377777777779,413.1499999999999,393.00243902439024,403.33249999999987,400.92424242424244,412.8227272727272
80,37501:2022-07-28 09:55:40.102,10 Trials,CONTROL FEEDBACK,485.1051282051282,484.52777777777766,478.2625,489.99166666666673,473.3666666666667,482.7928571428571,477.40263157894725,456.775
81,37525:2022-05-30 20:25:57.295,10 Trials,CONTROL FEEDBACK,431.6636363636362,427.3974358974359,421.25999999999993,433.04090909090905,432.9700000000001,430.6076923076923,428.52195121951223,409.4617647058824
