patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,-0.8218766890337664,13.900889349843684,52,442.7647764612462,443.58665315028003,56.95971631245891,55.65509526192109,-0.058552776354407726,-0.33030186099371056,0.21376419657108903,-0.422230074933185,0.6746318381492373,0.9697907348289727,2.673530198772414e-32,e1b
5,True,CONTROL FEEDBACK,-11.365838245417017,21.07414721869896,52,430.73111001591656,442.09694826133364,51.284152606745394,54.721128749032985,-0.5341151265071977,-0.8226225636962528,-0.24101577668518598,-3.851558951245273,0.00016456089733556413,0.9229763816727429,2.2315115273919016e-22,e1b
10,False,CONTROL FEEDBACK,5.211330836768718,16.004142073198985,41,441.82055350450264,436.60922266773383,41.13757357134305,40.9995459389085,0.3216283435791975,0.005668111981818597,0.6337752121422242,2.0594262422173393,0.0460034839594269,0.9240750041934392,7.013816191376768e-18,e1b
10,True,CONTROL FEEDBACK,-13.366711765448944,17.963869834225655,41,421.10798112066016,434.4746928861091,41.21242233028421,43.87115512189183,-0.7349583882791099,-1.0769687169762678,-0.3856925449743588,-4.706029869494551,1.503101546788268e-05,0.912714221582372,9.588819557679965e-17,e1b
