patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,-2.6309919538489184,13.578240612551992,122,424.9494145376395,427.5804064914883,44.650322888322044,42.48379449485819,-0.19296955237979627,-0.37167962709496144,-0.013477052943441916,-2.131418371359877,0.03507738363182135,0.9526402713275615,6.98297657371578e-64,e2
5,True,CONTROL FEEDBACK,-3.7185084153663945,13.569131695531983,122,419.1261486081289,422.8446570234953,43.22387267418134,42.66919065169265,-0.2729163038690069,-0.45311321233767865,-0.09163168677359783,-3.0144591037095614,0.0015685062194659947,0.9501678399048699,1.3745615342219086e-62,e2
10,False,CONTROL FEEDBACK,1.781166358005355,16.341785655624026,131,433.3062111184208,431.52504476041554,54.67143350689134,52.483650453785785,0.10857779111916327,-0.06337959339594351,0.2801197186034227,1.2427296209898118,0.2162043535172203,0.9542985383098397,1.585619991044481e-69,e2
10,True,CONTROL FEEDBACK,-5.04833247363746,15.23184019808239,131,423.5187761262718,428.56710859990926,51.949488310374235,54.827609476113864,-0.33016543312017,-0.5054356181106575,-0.1536866283293108,-3.778916105551069,0.0001194464216387427,0.9607260427670667,1.1055280228468575e-73,e2
