patch_length,feedback,prior,context,count,mean,median,std
5.0,CONTROL FEEDBACK,0,0.0,60.0,445.39,445.39,36.56
5.0,CONTROL FEEDBACK,0,1.0,60.0,445.78,445.66,36.71
5.0,CONTROL FEEDBACK,0,2.0,60.0,444.89,443.99,34.98
5.0,CONTROL FEEDBACK,0,3.0,60.0,445.67,446.04,39.18
5.0,CONTROL FEEDBACK,1,0.0,60.0,437.58,438.19,36.9
5.0,CONTROL FEEDBACK,1,1.0,60.0,436.5,435.67,36.43
5.0,CONTROL FEEDBACK,1,2.0,60.0,431.92,430.3,37.97
5.0,CONTROL FEEDBACK,1,3.0,60.0,429.41,425.84,39.24
10.0,CONTROL FEEDBACK,0,0.0,57.0,445.57,440.81,34.84
10.0,CONTROL FEEDBACK,0,1.0,57.0,444.6,441.86,35.17
10.0,CONTROL FEEDBACK,0,2.0,57.0,449.26,446.71,38.53
10.0,CONTROL FEEDBACK,0,3.0,57.0,454.72,449.12,38.73
10.0,CONTROL FEEDBACK,1,0.0,57.0,438.03,435.72,39.09
10.0,CONTROL FEEDBACK,1,1.0,57.0,436.3,433.21,39.16
10.0,CONTROL FEEDBACK,1,2.0,57.0,432.72,428.79,36.37
10.0,CONTROL FEEDBACK,1,3.0,57.0,425.25,421.55,36.41
