,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
139,414:2022-09-18 13:37:56.806,5 Trials,CONTROL FEEDBACK,508.88243243243255,513.9651162790697,506.4523809523808,499.7999999999999,502.4162790697673,481.34102564102574,487.3500000000001,489.8105263157897
140,415:2022-09-18 11:35:07.299,10 Trials,CONTROL FEEDBACK,501.19615384615355,503.95,459.36842105263156,475.645,495.5523809523809,479.8363636363636,479.8,498.1888059701492
141,416:2022-09-20 10:15:52.343,5 Trials,CONTROL FEEDBACK,453.0298507462685,452.4230769230769,453.45609756097565,434.00476190476195,431.46904761904756,454.21818181818185,425.52142857142854,430.1155844155844
142,418:2022-09-18 22:15:31.576,5 Trials,CONTROL FEEDBACK,344.76037735849064,347.25789473684205,353.9243243243243,347.3666666666667,342.89756097560985,356.16585365853655,333.06923076923067,334.30000000000007
143,419:2022-10-08 19:12:03.972,10 Trials,CONTROL FEEDBACK,399.5582733812948,370.17619047619047,411.6650000000001,387.9649999999999,392.24761904761897,376.16818181818184,399.30000000000007,389.0285714285711
144,420:2022-09-20 15:12:09.426,5 Trials,CONTROL FEEDBACK,445.99759036144565,455.21666666666687,450.74523809523805,448.54418604651175,465.2395348837208,465.3953488372093,441.1068181818182,441.28374999999994
145,422:2022-09-21 15:17:04.392,5 Trials,CONTROL FEEDBACK,430.4044117647059,440.3857142857143,443.43488372093026,429.12999999999994,426.8125000000001,428.3205128205127,417.5756097560976,430.7362068965517
146,424:2022-09-22 12:59:32.364,5 Trials,CONTROL FEEDBACK,376.72115384615387,398.55945945945945,388.8921052631579,406.6972222222223,389.6542857142858,397.7483870967742,394.1666666666667,369.13200000000006
147,425:2022-09-22 12:23:32.338,10 Trials,CONTROL FEEDBACK,478.57209302325606,456.2809523809524,465.97142857142853,484.90000000000003,442.89523809523797,458.54285714285714,458.01500000000004,477.0664335664335
148,427:2022-09-28 13:56:58.343,10 Trials,CONTROL FEEDBACK,371.08828125000014,371.1666666666667,374.1684210526316,356.54736842105257,388.59999999999997,346.152380952381,367.19000000000005,367.7976377952754
149,428:2022-09-28 10:54:58.673,5 Trials,CONTROL FEEDBACK,441.19000000000005,435.0375,443.2552631578948,455.6684210526315,439.1025641025642,457.16829268292696,435.41499999999996,438.9057142857145
