patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,3.8991795128747824,16.878405761481424,40,442.505860485994,438.6066809731192,34.64214763572562,41.46413534037863,0.2281098897385507,-0.08729128496248864,0.5406671898175812,1.4426936167673823,0.15709072959837395,0.9170356608854296,9.412078288447918e-17,e1
5,True,CONTROL FEEDBACK,-11.827475545197181,16.549622348123396,40,430.8464913710148,442.67396691621195,30.777149797619046,37.97874620858001,-0.7056775133433061,-1.049040049337583,-0.35505943521354744,-4.463096471457421,3.349993674261017e-05,0.9050255491372309,1.1035881111366111e-15,e1
10,False,CONTROL FEEDBACK,1.779256727490049,24.74627389945412,36,444.906788860775,443.12753213328494,47.236612889403126,44.98010820937611,0.07089434148898986,-0.2566846748485971,0.39747136761887664,0.42536604893393914,0.6731739550998654,0.8570894753080119,2.5233126855000866e-11,e1
10,True,CONTROL FEEDBACK,-10.517488315059568,18.718442825328413,36,430.2134846499843,440.7309729650438,46.03000313961585,47.14617054073361,-0.5540195532496943,-0.9019164020725112,-0.19926848276270417,-3.324117319498166,0.0010442725816757318,0.9195594447627367,2.370026653750803e-15,e1
