patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment
5,False,CONTROL FEEDBACK,0.6792399205023455,14.381291036777899,52,442.6531305720008,441.97389065149827,55.84461645993308,56.98838803264922,0.04677445580696225,-0.2254029666479959,0.3184943119429427,0.3372953975878535,0.7372784994147704,0.9677119147662238,1.3774249228621067e-31,e1b
5,True,CONTROL FEEDBACK,-10.741359520617921,19.71337323558764,52,431.094715913245,441.83607543386285,51.70843445477062,54.78518006046028,-0.5396121560825988,-0.828476856797975,-0.24611533036168062,-3.8911985952389747,0.0001451532964323051,0.9330797726349522,7.487071621147664e-24,e1b
10,False,CONTROL FEEDBACK,3.697010229747676,14.436362694233443,43,438.4115542413065,434.7145440115588,39.71295579317666,40.1369362997423,0.25309483655022774,-0.05208746266592455,0.5553625325014544,1.6596538314963813,0.10443387929149962,0.9346817731710532,5.0639277734321227e-20,e1b
10,True,CONTROL FEEDBACK,-10.818963341038767,17.595969874455783,43,423.30646910986894,434.12543245090757,40.1424253675823,43.13524974562993,-0.6076630888341377,-0.9303657768671759,-0.2788406568176556,-3.9847133485173227,0.00013179238491553322,0.9131816745801237,1.405688540123675e-17,e1b
