patch_length,feedback,prior,context,count,mean,median,std
5.0,CONTROL FEEDBACK,0.0,0.0,52.0,441.97,427.28,57.54
5.0,CONTROL FEEDBACK,0.0,1.0,52.0,439.16,426.9,54.26
5.0,CONTROL FEEDBACK,0.0,2.0,52.0,439.79,430.02,53.21
5.0,CONTROL FEEDBACK,0.0,3.0,52.0,442.65,429.04,56.39
5.0,CONTROL FEEDBACK,1.0,0.0,52.0,441.84,427.64,55.32
5.0,CONTROL FEEDBACK,1.0,1.0,52.0,437.13,431.06,54.14
5.0,CONTROL FEEDBACK,1.0,2.0,52.0,434.85,429.23,52.71
5.0,CONTROL FEEDBACK,1.0,3.0,52.0,431.09,422.06,52.21
10.0,CONTROL FEEDBACK,0.0,0.0,43.0,434.71,431.02,40.61
10.0,CONTROL FEEDBACK,0.0,1.0,43.0,437.72,432.98,40.81
10.0,CONTROL FEEDBACK,0.0,2.0,43.0,433.33,433.27,40.19
10.0,CONTROL FEEDBACK,0.0,3.0,43.0,438.41,433.35,40.18
10.0,CONTROL FEEDBACK,1.0,0.0,43.0,434.13,428.63,43.65
10.0,CONTROL FEEDBACK,1.0,1.0,43.0,424.77,423.22,42.8
10.0,CONTROL FEEDBACK,1.0,2.0,43.0,428.52,424.95,48.4
10.0,CONTROL FEEDBACK,1.0,3.0,43.0,423.31,423.38,40.62
